ID,Tipo,SKU,Nombre,Publicado,"Visibilidad en el catálogo","Día en que empieza el precio rebajado","Día en que termina el precio rebajado",Inventario,"Precio rebajado","Precio normal"
64700,simple,HC19AJ273,"PLANCHA REMINGTON ACEITE DE ARGAN",1,visible,,,,,140000
64705,simple,HC19AJ274,"PLANCHA REMINGTON SALES DE MAR-ALISA SOBRE MOJADO",1,visible,,,2,,145000
64715,simple,HC19AJ275,"PLANCHA REMINGTON PRO-ION ANTIFRIZZ",'-1,visible,,,,,135000
64737,simple,HC19AJ276,"PLANCHA REMINGTON KERATINA Y ARGAN",1,visible,,,4,,170000
64741,simple,HC19AJ277,"PLANCHA REMINGTON SAPPHIREPRO-TITANIUM",1,visible,,,,,190000
65375,simple,HC19AJ278,"KIT VIAJERO ROSA",1,visible,,,57,,12000
65439,simple,HC19AJ279,"GEL EXFOLIANTE",1,visible,,,49,,25000
65608,simple,HC19AJ280,"COMBO PILI ROSA",'-1,visible,,,,,70000
65610,simple,HC19AJ281,"COMBO PILI HAMAMELIS",'-1,visible,,,,,70000
65614,simple,HC19AJ282,"COMBO SAUNA",'-1,visible,,,,,110000
65616,simple,HC19AJ283,"COMBO CHIC",'-1,visible,,,,,50000
65619,simple,HC19AJ284,"COMBO LUNA BELLA",'-1,visible,,,,,80000
65621,simple,HC19AJ285,"COMBO BRONCE",'-1,visible,,,,,50000
65725,variable,HC19AJ286,"DEPILADORA FEMENINA REMINGTON",1,visible,,,,,
65989,simple,HC19AJ287,HYDROGEL,1,visible,,,23,,25000
65995,simple,HC19AJ288,"POMADA PARA CEJAS Y PESTAÑAS CILKA",1,visible,,,,,25000
66030,variation,HC19AJ289,"DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT",1,visible,,,7,,40000
66031,variation,HC19AJ290,"DEPILADORA FEMENINA REMINGTON - FLORES",1,visible,,,3,,40000
67924,simple,HC19AJ291,"COMBO MIRROR",'-1,visible,,,,,50000
68628,simple,HC19AJ292,"FLAWLESS LEGS - DEPILADOR DE PIERNA",1,visible,,,92,,50000
69718,simple,HC19AJ293,"FLAWLESS BROWS - DEPILADOR DE CEJAS PILA",1,visible,,,48,,25000
71416,simple,HC19AJ294,"COMBO FLAW",'-1,visible,,,,,100000
71426,simple,HC19AJ295,"COMBO DEPILADOR",'-1,visible,,,,,40000
71584,simple,HC19AJ296,"BROCHAS MARMOL",1,visible,,,195,,40000
72391,simple,HC19AJ297,"LAMPARA PARA UÑAS 36W",1,visible,,,8,,40000
75509,simple,HC19AJ298,"COMBO PROLUNA",'-1,visible,,,,,80000
75517,simple,HC19AJ299,"COMBO SIRENA GLITTER",'-1,visible,,,,,50000
75519,simple,HC19AJ300,"COMBO 5 EN 1 PILI",'-1,visible,,,,,40000
75521,simple,HC19AJ301,"COMBO MARMOL",'-1,visible,,,,,50000
75523,simple,HC19AJ302,"COMBO HIELO BELLA",'-1,visible,,,,,50000
75526,simple,HC19AJ303,"COMBO ALOE SAUNA",'-1,visible,,,3,,110000
96096,simple,HC19AJ354,"FLORAL BLOOM RUBOR",1,visible,,,9,,40000
96098,simple,HC19AJ355,"FLORAL BLOOM CONTORNO & ILUMUNADOR",1,visible,,,8,,40000
96099,variable,HC19AJ356,"SAUNA FACIAL PROFESIONAL",1,visible,,,,,
96100,simple,HC19AJ357,"ESPEJO DONA",1,visible,,,8,,5000
96101,simple,,"shadow primer (primer de sombras)",1,visible,,,48,,15000
96102,simple,HC19AJ359,"Bikini Bottom - 18 Eyeshadow Palette (copia)",'-1,visible,,,,,50000
96105,simple,HC19AJ361,"LATTE ESPRESSO YOURSELF (copia)",'-1,visible,,,,,45000
96106,simple,HC19AJ362,"ESPRESSO YOURSELF PALETTE (copia)",'-1,visible,,,,,45000
96107,simple,HC19AJ363,"PERLAS DEPILATORIAS 400GR",1,visible,,,96,,25000
96108,simple,HC19AJ364,"BROCHAS UNICORNIO",1,visible,,,8,,38000
96109,simple,,"SOMBRA MAKE UP 35 COLOR PALETTE",1,visible,,,17,,55000
96110,simple,HC19AJ366,"CONTOUR PALETTE 2",1,visible,,,19,,25000
96111,simple,,"SOMBRA CALI CHIC PALETTE",1,visible,,,19,,40000
96112,simple,HC19AJ368,"SOMBRA SPLASH OF GLITTERS 2",'-1,visible,,,45,,80000
96114,simple,,"SOMBRA CALI SET PALETTE",1,visible,,,21,,40000
96115,simple,HC19AJ370,"COMBO OLLA 400gr",1,visible,,,75,,50000
96116,simple,HC19AJ371,"COMBO OLLA 200gr",1,visible,,,308,,40000
96117,simple,HC19AJ372,"FIJADOR ILLUMINATING SETTING SPRAY",1,visible,,,32,,25000
96119,simple,HC19AJ374,"CONTORNOS 4-COLOR HIGHLIGH (copia)",'-1,visible,,,,,20000
96120,simple,HC19AJ375,"PRO ROSE GOLD (copia)",'-1,visible,,,,,65000
96121,simple,HC19AJ376,"ILUMINADOR BAKED POPS",1,visible,,,61,,35000
96122,simple,HC19AJ377,"BROCHAS DIAMANTE TORNASOL",1,visible,,,90,,45000
96123,simple,HC19AJ378,"BROCHAS DIAMANTE ARCOIRIS",1,visible,,,,,45000
96248,simple,HC19AJ379,"MASCARILLA DIAMOND BLACK PEEL-OFF DEAR SHE",1,visible,,,81,,3500
96263,simple,HC19AJ380,"MASCARILLA DIAMOND GALAXY GOLD PEEL-OFF",1,visible,,,80,,3500
97051,variation,HC19AJ381,"LABIAL SOFT MATTE - BUDAPEST - DEEP MAUVE WITH RED UNDERTONE",0,visible,,,,,
97057,variation,HC19AJ382,"LABIAL SOFT MATTE - STOCKHOLM - MID-TONE BEIGE PINK",0,visible,,,,,
97058,variation,HC19AJ383,"LABIAL SOFT MATTE - LONDON - MID-TONE BEIGE",0,visible,,,,,
98159,simple,HC19AJ384,"MASAJEADOR FACIAL 5 EN 1",'-1,visible,,,300,,15000
98202,variation,HC19AJ385,"BEAUTY BLENDER - FUCSIA",1,visible,,,689,,15000
98203,variation,HC19AJ386,"BEAUTY BLENDER - BEIGE",1,visible,,,770,,15000
98204,variation,HC19AJ387,"BEAUTY BLENDER - NEGRO",1,visible,,,767,,15000
98432,simple,HC19AJ388,"BROCHAS SIRENA",1,visible,,,6,,45000
100719,simple,HC19AJ389,"PULPO FACIAL (no)",'-1,visible,,,140,,7000
100729,simple,HC19AJ390,"MASAJEADOR BEAUTY BAR",1,visible,,,38,,30000
100740,simple,HC19AJ391,"BROCHAS SEMIPROFESIONAL 24 PCS",1,visible,,,219,,60000
100744,simple,HC19AJ392,"LAMPARA PARA UÑAS 48W",1,visible,,,118,,80000
