ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Inventario;Precio rebajado;Precio normal
78339;simple;HC19AJ306;COMBO FLORAL REMINGTON;'-1;visible;;;;;80000
36242;simple;HC19AJ127;COMBO GLITTER;'-1;visible;;;;;20000
75523;simple;HC19AJ302;COMBO HIELO BELLA;'-1;visible;;;;;50000
90298;simple;HC19AJ331;COMBO HYDRODEPILADOR;'-1;visible;;;;;100000
63928;simple;HC19AJ266;COMBO LASH;'-1;visible;;;;;20000
39458;simple;HC19AJ203;COMBO LUNA;'-1;visible;;;;;90000
65619;simple;HC19AJ284;COMBO LUNA BELLA;'-1;visible;;;;;80000
94748;simple;HC19AJ344;COMBO LUNA GOLD;'-1;visible;;;;;120000
90301;simple;HC19AJ332;COMBO LUNA ROSE;'-1;visible;;;;;70000
78324;simple;HC19AJ304;COMBO LUNAR;'-1;visible;;;;;90000
75521;simple;HC19AJ301;COMBO MARMOL;'-1;visible;;;;;50000
37878;simple;HC19AJ190;COMBO MASCARA;'-1;visible;;;;;20000
80862;simple;HC19AJ319;COMBO MERFANTASIA REAL;'-1;visible;;;;;80000
67924;simple;HC19AJ291;COMBO MIRROR;'-1;visible;;;;;50000
91634;simple;HC19AJ339;COMBO MIX;'-1;visible;;;;;50000
39246;simple;HC19AJ194;COMBO NEGRO;'-1;visible;;;;;50000
63726;simple;HC19AJ255;COMBO PERLAS 500 GR;1;visible;18/06/19 0:00;26/06/19 0:00;73;;60000
65610;simple;HC19AJ281;COMBO PILI HAMAMELIS;'-1;visible;;;;;70000
65608;simple;HC19AJ280;COMBO PILI ROSA;'-1;visible;;;;;70000
35538;variable;HC19AJ88;COMBO PLANCHA + RIZADOR;'-1;visible;;;;;
35542;variation;HC19AJ91;COMBO PLANCHA + RIZADOR - MORADO;1;visible;18/06/19 0:00;26/06/19 0:00;;;40000
35540;variation;HC19AJ89;COMBO PLANCHA + RIZADOR - ROSA;1;visible;18/06/19 0:00;26/06/19 0:00;;;40000
35541;variation;HC19AJ90;COMBO PLANCHA + RIZADOR - VERDE MENTA;1;visible;18/06/19 0:00;26/06/19 0:00;;;40000
62225;simple;HC19AJ244;COMBO PLATA;'-1;visible;;;;;50000
35937;simple;HC19AJ100;COMBO PRINCESA;'-1;visible;;;;;40000
75509;simple;HC19AJ298;COMBO PROLUNA;'-1;visible;;;;;80000
39460;simple;HC19AJ204;COMBO REAL NUDE;'-1;visible;;;;;50000
94751;simple;HC19AJ345;COMBO RETURN HD;'-1;visible;;;;;90000
62227;simple;HC19AJ245;COMBO ROSE;'-1;visible;;;;;50000
65614;simple;HC19AJ282;COMBO SAUNA;'-1;visible;;;;;110000
37888;simple;HC19AJ192;COMBO SHIMMER;'-1;visible;;;;;30000
39251;simple;HC19AJ196;COMBO SHINY;'-1;visible;;;;;40000
35944;simple;HC19AJ103;COMBO SIRENA;'-1;visible;;;;;40000
36313;simple;HC19AJ135;COMBO SIRENA;'-1;visible;;;;;30000
36054;simple;HC19AJ113;COMBO SIRENA BAKED;'-1;visible;;;;;50000
75517;simple;HC19AJ299;COMBO SIRENA GLITTER;'-1;visible;;;;;50000
78342;simple;HC19AJ307;COMBO SIRENA PLUS;'-1;visible;;;;;50000
35973;simple;HC19AJ104;COMBO SIRENA ROSA;'-1;visible;;;;;50000
91631;simple;HC19AJ338;COMBO SIRENITA;'-1;visible;;;;;50000
62232;simple;HC19AJ246;COMBO SKIN;'-1;visible;;;;;20000
80860;simple;HC19AJ318;COMBO SKIN PRO;'-1;visible;;;;;100000
37058;simple;HC19AJ166;COMBO SUGAR;'-1;visible;;;;;40000
51193;simple;HC19AJ234;COMBO SUMMER;'-1;visible;;;;;50000
36245;simple;HC19AJ130;COMBO SWEETS;'-1;visible;;;0;;70000
80857;simple;HC19AJ317;COMBO TAKE ME HOME;'-1;visible;;;;;70000
63936;simple;HC19AJ267;COMBO TORNASOL;'-1;visible;;;;;30000
35941;simple;HC19AJ101;COMBO UNICORNIO;'-1;visible;;;;;50000
39248;simple;HC19AJ195;COMBO WAX;'-1;visible;;;;;20000
96119;simple;HC19AJ374;CONTORNOS 4-COLOR HIGHLIGH (copia);'-1;visible;;;;;20000
96110;simple;HC19AJ366;CONTOUR PALETTE 2 (copia);'-1;visible;;;0;;25000
35295;simple;HC19AJ34;COPPERELLA;'-1;visible;;;;;55000
762;variable;;CORRECTOR DE OJERAS AGE RE;'-1;visible;;;96;;
900;variation;HC19AJ10;CORRECTOR DE OJERAS AGE RE - Fair;1;visible;18/06/19 0:00;26/06/19 0:00;;;25000
769;variation;HC19AJ01;CORRECTOR DE OJERAS AGE RE - Honey;1;visible;18/06/19 0:00;26/06/19 0:00;1;;25000
901;variation;HC19AJ11;CORRECTOR DE OJERAS AGE RE - Light;1;visible;18/06/19 0:00;26/06/19 0:00;;;25000
899;variation;HC19AJ09;CORRECTOR DE OJERAS AGE RE - Medium;1;visible;18/06/19 0:00;26/06/19 0:00;2;;25000
902;variation;HC19AJ12;CORRECTOR DE OJERAS AGE RE - Neutralizer;1;visible;18/06/19 0:00;26/06/19 0:00;0;;25000
36599;variable;HC19AJ150;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE;1;visible;18/06/19 0:00;26/06/19 0:00;;;
36611;variation;HC19AJ151;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - BRIGHTENER;0;visible;;;;;30000
36612;variation;HC19AJ152;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - CARAMEL;0;visible;;;;;30000
36613;variation;HC19AJ153;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - FAIR;0;visible;;;;;30000
36614;variation;HC19AJ154;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - GOLDEN;0;visible;;;;;30000
36615;variation;HC19AJ155;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HAZELNUT;0;visible;;;;;30000
36616;variation;HC19AJ156;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - HONEY;0;visible;;;5;;30000
36617;variation;HC19AJ157;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - IVORY;0;visible;;;;;30000
36618;variation;HC19AJ158;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - LIGHT;0;visible;;;;;30000
36619;variation;HC19AJ159;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - MEDIUM;1;visible;18/06/19 0:00;26/06/19 0:00;0;;30000
36620;variation;HC19AJ160;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - NEUTRALIZER;1;visible;18/06/19 0:00;26/06/19 0:00;0;;30000
36621;variation;HC19AJ161;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - SAND;0;visible;;;;;30000
36622;variation;HC19AJ162;CORRECTOR INSTANT AGE REWIND ERASER DARK CIRCLES MAYBELLINE - TAN;0;visible;;;;;30000
36404;variable;HC19AJ137;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT;1;visible;18/06/19 0:00;26/06/19 0:00;;;
36406;variation;HC19AJ139;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF;0;visible;;;;;35000
36405;variation;HC19AJ138;CORRECTOR INSTANT AGE REWIND ERASER TREATMENT - BUFF BEIGE;1;visible;18/06/19 0:00;26/06/19 0:00;4;;35000
