ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario;Precio rebajado;Precio normal;Meta: _real_price
63661;variation;;COSMETIQUERA TORNASOL - TORNASOL MORADO;1;visible;32;;15000;
37494;variation;;Depilador Facial - Pilas - ROSADO;0;visible;;;25000;
37495;variation;;Depilador Facial - Pilas - NEGRO;0;visible;;;25000;
37496;variation;;Depilador Facial - Pilas - ROJO;0;visible;;;25000;
37878;simple;;COMBO MASCARA;'-1;visible;;;20000;
37882;simple;;COMBO BARELYNUDE;'-1;visible;;;40000;
37888;simple;;COMBO SHIMMER;'-1;visible;;;30000;
37890;simple;;COMBO CUIDADO FACIAL;'-1;visible;;;30000;
39246;simple;;COMBO NEGRO;'-1;visible;;;50000;
39248;simple;;COMBO WAX;'-1;visible;;;20000;
39251;simple;;COMBO SHINY;'-1;visible;;;40000;
39257;simple;;COMBO COLOSSAL;'-1;visible;;;50000;
39261;simple;;COMBO CARACOL;'-1;visible;;;20000;
39267;simple;;COMBO BH;'-1;visible;;;50000;
124685;simple;;CRYSTAL LIP GLAZE (gloss);1;visible;;;7000;3437
39396;simple;;PESTA?INA LASH SENSATIONAL;'-1;visible;35;;25000;
39434;simple;;BEAUTY BLENDER SNAPCHIC;'-1;visible;;;20000;
39458;simple;;COMBO LUNA;'-1;visible;;;90000;
39460;simple;;COMBO REAL NUDE;'-1;visible;;;50000;
39462;simple;;COMBO DEPILADOR;'-1;visible;;;30000;
39464;simple;;COMBO BEAUTY;'-1;visible;;;20000;
37492;variable;;Depilador Facial - Pilas;1;visible;;;;
37493;variation;;Depilador Facial - Pilas - BLANCO;1;visible;;;25000;
39927;simple;;SOMBRA The Rude AWAKENING - Book 5;'-1;visible;;;70000;
37477;variable;;Depilador Facial - Recargable;1;visible;;;;
37487;variation;;Depilador Facial - Recargable - BLANCO;1;visible;;;40000;
43169;simple;;PAPEL DE ARROZ;'-1;visible;;;10000;
65725;variable;;DEPILADORA FEMENINA REMINGTON;1;visible;;;;
66030;variation;;DEPILADORA FEMENINA REMINGTON - ANIMAL PRINT;1;visible;;;40000;
66031;variation;;DEPILADORA FEMENINA REMINGTON - FLORES;1;visible;;;40000;
774;variation;;DESMAQUILLADOR DE OJOS Y LABIOS;1;visible;;;45000;
63327;simple;;DESMAQUILLADOR DUAL;1;visible;;;20000;
50508;simple;;PALETA DE CORRECTORES DEL COLOR COLOUR CORRECTING PALETTE;'-1;visible;;;28000;
35891;variable;;ENCRESPADOR;1;visible;;;;
130832;variation;;ENCRESPADOR - AZUL;1;visible;;;;
130833;variation;;ENCRESPADOR - NARANJA;1;visible;;;;
130834;variation;;ENCRESPADOR - ROSA;1;visible;;;;
130835;variation;;ENCRESPADOR - VERDE;1;visible;;;;
104213;simple;;ENCRESPADOR RECARGABLE - CARGADOR PORTATIL;1;visible;;;65000;
104729;simple;;ESPEJO AGUA;1;visible;;;6000;
96100;simple;;ESPEJO DONA;1;visible;;;5000;
50764;simple;;ESPEJO EMOJI;1;visible;;;5000;
64351;variable;;ESPEJO LED;1;visible;;;;
64354;variation;;ESPEJO LED - BLANCO;1;visible;;;45000;
64355;variation;;ESPEJO LED - NEGRO;1;visible;;;45000;
51182;simple;;COMBO CONCHA;'-1;visible;;;60000;
51189;simple;;COMBO DEPILADOR CRYSTAL;'-1;visible;;;25000;
51193;simple;;COMBO SUMMER;'-1;visible;;;50000;
52250;simple;;Smoke ?n Mirrors;'-1;visible;247;;50000;
64356;variation;;ESPEJO LED - ROSA;1;visible;;;45000;
52299;variation;;ARO LED SELFIE - AZUL;0;visible;;;15000;
35414;variable;;ESSENTIAL BRUSH COLLECTION;1;visible;;;;
52303;variation;;ARO LED SELFIE - ROSA;0;visible;;;15000;
35420;variation;;ESSENTIAL BRUSH COLLECTION - CBR56;1;visible;;;8000;
62219;simple;;COMBO FACIAL GLITTER;'-1;visible;;;60000;
62221;simple;;COMBO ARCOIRIS;'-1;visible;24;;60000;
62223;simple;;COMBO ESPECIAL;'-1;visible;;;80000;
62225;simple;;COMBO PLATA;'-1;visible;;;50000;
62227;simple;;COMBO ROSE;'-1;visible;;;50000;
62232;simple;;COMBO SKIN;'-1;visible;;;20000;
35422;variation;;ESSENTIAL BRUSH COLLECTION - CBR58;1;visible;;;8000;
35423;variation;;ESSENTIAL BRUSH COLLECTION - CBR59;1;visible;;;8000;
63346;simple;;BRUSH CRUSH;'-1;visible;;;20000;
63659;variable;;COSMETIQUERA TORNASOL;'-1;visible;;;;
35425;variation;;ESSENTIAL BRUSH COLLECTION - CBR61;1;visible;;;8000;
35426;variation;;ESSENTIAL BRUSH COLLECTION - CBR62;1;visible;;;8000;
63688;simple;;ROSA TORNASOL;'-1;visible;;;45000;
35427;variation;;ESSENTIAL BRUSH COLLECTION - CBR63;1;visible;;;8000;
35428;variation;;ESSENTIAL BRUSH COLLECTION - CBR64;1;visible;;;8000;
35429;variation;;ESSENTIAL BRUSH COLLECTION - CBR65;1;visible;;;8000;
35430;variation;;ESSENTIAL BRUSH COLLECTION - CBR66;1;visible;;;8000;
39317;simple;;EXTRACTOR DE PUNTOS NEGROS DIGITAL;1;visible;;;60000;
63838;simple;;EXTRACTOR FACIAL CON SPRAY DE MICRONIZACIÓN;1;visible;;;70000;
119412;simple;;EXTRACTOR PUNTOS NEGROS;1;visible;;;50000;
35503;simple;;FIJADOR CONTROL MATTE;1;visible;;;20000;
63913;simple;;COMBO BEAUTY;'-1;visible;;;60000;
63917;simple;;COMBO CLEANING ROSAS;'-1;visible;;;90000;
63919;simple;;COMBO CONTROL OIL;'-1;visible;;;90000;
63923;simple;;COMBO FACIAL ROSE;'-1;visible;;;30000;
63928;simple;;COMBO LASH;'-1;visible;;;20000;
63936;simple;;COMBO TORNASOL;'-1;visible;;;30000;
96117;simple;;FIJADOR ILLUMINATING SETTING SPRAY;1;visible;;;25000;
69718;simple;;FLAWLESS BROWS - DEPILADOR DE CEJAS PILA;1;visible;;;25000;
104336;simple;;FLAWLESS BROWS - DEPILADOR DE CEJAS RECARGABLE;1;visible;;;40000;
68628;simple;;FLAWLESS LEGS - DEPILADOR DE PIERNA;1;visible;;;50000;
96098;simple;;FLORAL BLOOM CONTORNO & ILUMUNADOR;1;visible;;;40000;
96096;simple;;FLORAL BLOOM RUBOR;1;visible;;;40000;
65439;simple;;GEL EXFOLIANTE;1;visible;;;25000;
64715;simple;;PLANCHA REMINGTON PRO-ION ANTIFRIZZ;'-1;visible;;;135000;
103908;simple;;HAIR CLIPS;1;visible;;;6000;
101433;variable;;HUMIFICADOR FACIAL- CARGADOR PORTATIL;1;visible;;;;
101436;variation;;HUMIFICADOR FACIAL- CARGADOR PORTATIL - BLANCO;1;visible;;;30000;
101437;variation;;HUMIFICADOR FACIAL- CARGADOR PORTATIL - ROSA;1;visible;;;30000;
65608;simple;;COMBO PILI ROSA;'-1;visible;;;70000;
65610;simple;;COMBO PILI HAMAMELIS;'-1;visible;;;70000;
65614;simple;;COMBO SAUNA;'-1;visible;;;110000;
65616;simple;;COMBO CHIC;'-1;visible;;;50000;
65619;simple;;COMBO LUNA BELLA;'-1;visible;;;80000;
65621;simple;;COMBO BRONCE;'-1;visible;;;50000;
65989;simple;;HYDROGEL;1;visible;;;25000;
96121;simple;;ILUMINADOR BAKED POPS;1;visible;;;35000;
37324;variable;;Iluminador Bronceador Shimmer Powder;1;visible;;;;
37329;variation;;Iluminador Bronceador Shimmer Powder - BRONCER;1;visible;77;;15000;
37330;variation;;Iluminador Bronceador Shimmer Powder - DORADO;1;visible;27;;15000;
67924;simple;;COMBO MIRROR;'-1;visible;;;50000;
37331;variation;;Iluminador Bronceador Shimmer Powder - ORO ROSA;1;visible;31;;15000;
124687;simple;;ILUMINADORES ISLAND PARADISE;1;visible;;;60000;30091
71416;simple;;COMBO FLAW;'-1;visible;;;100000;
71426;simple;;COMBO DEPILADOR;'-1;visible;;;40000;
63831;simple;;JABON FACIAL PIEL GRASA;1;visible;;;25000;
63833;simple;;JABON FACIAL PIEL MIXTA O NORMAL;1;visible;;;25000;
75509;simple;;COMBO PROLUNA;'-1;visible;;;80000;
75517;simple;;COMBO SIRENA GLITTER;'-1;visible;;;50000;
75519;simple;;COMBO 5 EN 1 PILI;'-1;visible;;;40000;
75521;simple;;COMBO MARMOL;'-1;visible;;;50000;
75523;simple;;COMBO HIELO BELLA;'-1;visible;;;50000;
75526;simple;;COMBO ALOE SAUNA;'-1;visible;;;110000;
78324;simple;;COMBO LUNAR;'-1;visible;;;90000;
78332;simple;;COMBO CONCHA GOLD;'-1;visible;;;50000;
78339;simple;;COMBO FLORAL REMINGTON;'-1;visible;;;80000;
78342;simple;;COMBO SIRENA PLUS;'-1;visible;;;50000;
65375;simple;;KIT VIAJERO ROSA;1;visible;;;12000;
35264;variable;;LABIAL SOFT MATTE;1;visible;;;;
36111;variation;;LABIAL SOFT MATTE - CANNES - MATTE MUTED MAUVE;1;visible;;;20000;
36112;variation;;LABIAL SOFT MATTE - COPENHAGEN - MATTE RICH PLUM;1;visible;;;20000;
36113;variation;;LABIAL SOFT MATTE - PRAGUE - MATTE MERLOT;1;visible;;;20000;
36114;variation;;LABIAL SOFT MATTE - ROME - MEDIUM NUDE WITH RED UNDERTONE;1;visible;;;20000;
72391;simple;;LAMPARA PARA UÑAS 36W;1;visible;;;40000;
100744;simple;;LAMPARA PARA UÑAS 48W;1;visible;;;80000;
79003;simple;;TAKE ME HOME-OKALAN;'-1;visible;31;;45000;
80857;simple;;COMBO TAKE ME HOME;'-1;visible;;;70000;
80860;simple;;COMBO SKIN PRO;'-1;visible;;;100000;
80862;simple;;COMBO MERFANTASIA REAL;'-1;visible;;;80000;
80865;simple;;COMBO FANTASTIQUE;'-1;visible;;;100000;
101594;simple;;LAMPARA PARA UÑAS 54W;1;visible;;;100000;
104287;simple;;LAVA BROCHAS EN SECO;1;visible;;;15000;
119102;simple;;LAVA BROCHAS EN SECO HOLY;1;visible;100;;10000;
46037;simple;;LETRERO LED A4 GRANDE;1;visible;;;50000;
46032;simple;;LETRERO LED A5 MEDIANO;1;visible;;;40000;
89308;variable;;Luna Mini 2;1;visible;;;;
89311;variation;;Luna Mini 2 - AZUL;1;visible;;;60000;
89310;variation;;Luna Mini 2 - FUCSIA;1;visible;;;60000;
90291;simple;;COMBO DUAL CHIC;'-1;visible;;;60000;
90293;simple;;COMBO EXRACTODEPILADOR;'-1;visible;;;70000;
90298;simple;;COMBO HYDRODEPILADOR;'-1;visible;;;100000;
90301;simple;;COMBO LUNA ROSE;'-1;visible;;;70000;
91613;simple;;SET REAL;'-1;visible;2;;20000;
91618;simple;;COMBO BEAUTY CARE;'-1;visible;;;50000;
91624;simple;;COMBO ALMEJA;'-1;visible;;;70000;
91626;simple;;COMBO FACIAL LUNAR;'-1;visible;;;80000;
91629;simple;;COMBO EXTRACTOLUNAR;'-1;visible;;;120000;
91631;simple;;COMBO SIRENITA;'-1;visible;;;50000;
91634;simple;;COMBO MIX;'-1;visible;;;50000;
93485;variation;;Luna Mini 2 - NEGRO;0;visible;;;60000;
93486;variation;;Luna Mini 2 - AMARILLO;0;visible;;;60000;
94744;simple;;COMBO DEPILADOR BLACK;'-1;visible;;;30000;
94746;simple;;COMBO DEPILADOR TOP;'-1;visible;;;110000;
94748;simple;;COMBO LUNA GOLD;'-1;visible;;;120000;
94751;simple;;COMBO RETURN HD;'-1;visible;;;90000;
89309;variation;;Luna Mini 2 - ROSADO;1;visible;;;60000;
37445;variable;;MAGIC BRA;1;visible;;;;
37464;variation;;MAGIC BRA - BEIGE, B;1;visible;;;16000;
37465;variation;;MAGIC BRA - BEIGE, C;1;visible;;;16000;
37466;variation;;MAGIC BRA - BEIGE, D;1;visible;;;16000;
37468;variation;;MAGIC BRA - NEGRO, B;1;visible;;;16000;
37469;variation;;MAGIC BRA - NEGRO, C;1;visible;;;16000;
37470;variation;;MAGIC BRA - NEGRO, D;1;visible;;;16000;
35123;simple;;MAQUINA LAVA BROCHAS;1;visible;;;45000;
100729;simple;;MASAJEADOR BEAUTY BAR;1;visible;;;30000;
104228;simple;;MASAJEADOR DEPILADOR 3 EN 1;1;visible;;;70000;
36123;simple;;MASAJEADOR FACIAL 4 EN 1;1;visible;;;17000;
88424;simple;;MASAJEADOR FACIAL 5 EN 1;1;visible;;;15000;
96102;simple;;Bikini Bottom - 18 Eyeshadow Palette (copia);'-1;visible;;;50000;
