id,title,description,link,image_link,availability,price,google_product_category,brand,gtin,mpn,identifier_exists,condition,item_group_id
317858,"LAMPARA PARA UÑAS 36W ROSA","La lampara para uñas es actualmente un instrumento indispensable para hacer tus uñas favoritas en materiales que requieran de la luz de la lampara paras ser curados.",http://local.holy.com/tienda/lampara-para-unas-36w-rosa/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=317858,http://local.holy.com/wp-content/uploads/2020/07/lampara-de-36w-rosa-Holy-cosmetics.png,"in stock","COP 40000.00",491,,,,no,New,
317817,"LAMPARA PARA UÑAS 48W ROSA","La lampara para uñas es actualmente un instrumento indispensable para hacer tus uñas favoritas en materiales que requieran de la luz de la lampara paras ser curados.",http://local.holy.com/tienda/lampara-para-unas-48w-rosa/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=317817,http://local.holy.com/wp-content/uploads/2020/07/Lampara-sun-de-48w-rosa-Holy-cosmetics.jpg,"in stock","COP 80000.00",491,,,,no,New,
316888,"BANDITAS PARA PUNTOS NEGROS","La bandita para puntos negros, proporciona una limpieza profunda en el área de la nariz ya que esta diseñada para que en un solo paso puedas retirar todos los puntos negros e impurezas. Al usar la bandita podrás tener como resultado una piel limpia y suave, sentirás una gran diferencia después de un solo uso.Quedaras encantada con los resultados. *Libre de crueldad animal* ",http://local.holy.com/tienda/banditas-para-puntos-negros/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=316888,http://local.holy.com/wp-content/uploads/2020/07/Bandita-para-puntos-negros-dear-she-Holy-cosmetics.jpg,"in stock","COP 2000.00",491,,,,no,New,
316908,"MASCARILLA ORO CON COLAGENO","La mascarilla es antioxidante, tiene efecto rejuvenecedor contra las arrugas, ayuda a reparar y renovar la piel dando firmeza y luminosidad. Sus componentes ayudan a previene y retarda la aparición de arrugas, líneas de expresión y manchas en la piel también, combate los puntos negros dejando una apariencia clara y limpia. *Libre de crueldad animal* ",http://local.holy.com/tienda/mascarilla-oro-con-colageno/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=316908,http://local.holy.com/wp-content/uploads/2020/07/Mascarilla-oro-con-colageno-Holy-cosmetics.jpg,"in stock","COP 3000.00",491,,,,no,New,
315420,"LAMPARA PARA UÑAS 54W ROSA","La lampara para uñas es actualmente un instrumento indispensable para hacer tus uñas favoritas en materiales que requieran de la luz de la lampara paras ser curados.",http://local.holy.com/tienda/lampara-para-unas-54w-rosa/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=315420,http://local.holy.com/wp-content/uploads/2020/07/Lampara-de-54w-rosa-sun-Holy-cosmetics.jpg,"in stock","COP 100000.00",491,,,,no,New,
313787,"ACEITE PARA UÑAS","Este aceite ofrece una fórmula de máxima hidratación, es perfecto para tratar y suavizar zonas delicadas de la uña, como la cutícula. Usandolo diariamente aporará hidratación, protección y fortalecerá las uñas y las cutículas de manera excepcional. **Este producto se envía según disponibilidad de color**",http://local.holy.com/tienda/aceite-para-unas/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=313787,http://local.holy.com/wp-content/uploads/2020/07/Aceite-para-uñas-opi-Holy-cosmetics.jpg,"in stock","COP 5000.00",491,,,,no,New,
313146,"RUBOR NEW VIBE 05","Tonos marrones y marrones con un acabado brillante y opaco. **Libre de crueldad**",http://local.holy.com/tienda/rubor-new-vibe-05/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=313146,http://local.holy.com/wp-content/uploads/2020/07/Rubor-new-vibe-ruby-rose-tono-5-Holy-cosmetics.jpg,"in stock","COP 10000.00",491,,,,no,New,
313135,"RUBOR NEW VIBE 01","Tonos marrones oscuros y un tinte de vino con un acabado opaco. *Libre de crueldad*",http://local.holy.com/tienda/rubor-new-vibe-01/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=313135,http://local.holy.com/wp-content/uploads/2020/07/Rubor-new-vibe-ruby-rose-tono-1-Holy-cosmetics.jpg,"in stock","COP 10000.00",491,,,,no,New,
313123,"LAMPARA PARA UÑAS 120w","La lampara para uñas es actualmente un instrumento indispensable para hacer tus uñas favoritas en materiales que requieran de la luz de la lampara paras ser curados.",http://local.holy.com/tienda/lampara-para-unas-120w/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=313123,http://local.holy.com/wp-content/uploads/2020/07/Lampara-para-uñas-120w-Holy-cosmetics.jpg,"in stock","COP 160000.00",491,,,,no,New,
313119,"PALETA KIT HEART","La paleta de corazones Ruby Rose Face Kit fue creada especialmente para aquellos que aman maquillarse bien y crear un look increíble. Esta paleta tiene opciones de 1iluminador, 4rubor y 1contorno. **Libre de crueldad**",http://local.holy.com/tienda/paleta-kit-heart/?utm_source=Google%20Shopping&amp;utm_campaign=GOOGLE%20FEED&amp;utm_medium=cpc&amp;utm_term=313119,http://local.holy.com/wp-content/uploads/2020/07/Paleta-face-kit-hear-Ruby-rose-Holy-cosmetics.jpg,"in stock","COP 18000.00",491,,,,no,New,
