ID;Tipo;SKU;Nombre;Publicado;Visibilidad en el catálogo;Inventario; Precio rebajado ; Precio normal ;10%;15%;20%;25%;30%;35%
35824;simple;;COMBO AMOR #2;'-1;visible;;;135000;;;;;;
35826;simple;;COMBO AMOR #3;'-1;visible;;;75000;;;;;;
124670;simple;;COCONUT LIP MASK (balsamo para labios);1;visible;1;; $12.000 ; $10.800 ; $9.180 ; $7.344 ; $5.508 ; $3.856 ; $2.506 
35937;simple;;COMBO PRINCESA;'-1;visible;;;40000;;;;;;
35941;simple;;COMBO UNICORNIO;'-1;visible;;;50000;;;;;;
35943;simple;;COMBO DIAMANTE;'-1;visible;;;60000;;;;;;
35944;simple;;COMBO SIRENA;'-1;visible;;;40000;;;;;;
35973;simple;;COMBO SIRENA ROSA;'-1;visible;;;50000;;;;;;
35978;simple;;COMBO #2;'-1;visible;;;30000;;;;;;
35979;simple;;COMBO #4;'-1;visible;;;40000;;;;;;
35980;simple;;COMBO ARCOIRIS;'-1;visible;;;100000;;;;;;
36022;simple;;BROCHAS SIRENA;'-1;visible;;;45000;;;;;;
96116;simple;;COMBO OLLA 200gr;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
36036;simple;;EXTRACTOR PUNTOS NEGROS 2;'-1;visible;;;70000;;;;;;
36051;simple;;COMBO FACIAL;'-1;visible;;;20000;;;;;;
36054;simple;;COMBO SIRENA BAKED;'-1;visible;;;50000;;;;;;
96115;simple;;COMBO OLLA 400gr;1;visible;;; $50.000 ; $45.000 ; $38.250 ; $30.600 ; $22.950 ; $16.065 ; $10.442 
63726;simple;;COMBO OLLA 500 GR;1;visible;;; $60.000 ; $54.000 ; $45.900 ; $36.720 ; $27.540 ; $19.278 ; $12.531 
35542;variation;;COMBO PLANCHA + RIZADOR - MORADO;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
35540;variation;;COMBO PLANCHA + RIZADOR - ROSA;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
35541;variation;;COMBO PLANCHA + RIZADOR - VERDE MENTA;1;visible;;; $40.000 ; $36.000 ; $30.600 ; $24.480 ; $18.360 ; $12.852 ; $8.354 
36161;simple;;EXTRACTOR PUNTOS NEGROS 1;'-1;visible;;;50000;;;;;;
36201;simple;;COMBO AGUA;'-1;visible;;;50000;;;;;;
36203;simple;;COMBO CALI;'-1;visible;;;60000;;;;;;
36237;simple;;COMBO CUIDADO FACIAL;'-1;visible;;;50000;;;;;;
36242;simple;;COMBO GLITTER;'-1;visible;;;20000;;;;;;
36243;simple;;COMBO DONA;'-1;visible;;;50000;;;;;;
36244;simple;;COMBO BAKED;'-1;visible;;;60000;;;;;;
119272;simple;;CONTORNO & ILUMINADOR GLAMOUR BAR;1;visible;;; $45.000 ; $40.500 ; $34.425 ; $27.540 ; $20.655 ; $14.459 ; $9.398 
36305;simple;;COMBO BANANA;'-1;visible;;;50000;;;;;;
36311;simple;;COMBO FACIAL;'-1;visible;;;20000;;;;;;
36312;simple;;COMBO BAKED;'-1;visible;;;40000;;;;;;
36313;simple;;COMBO SIRENA;'-1;visible;;;30000;;;;;;
36314;simple;;COMBO COSMETICS;'-1;visible;;;70000;;;;;;
96110;simple;;CONTOUR PALETTE 2;1;visible;;; $25.000 ; $22.500 ; $19.125 ; $15.300 ; $11.475 ; $8.033 ; $5.221 
