"ID","Nombre","Publicado","Visibilidad en el catálogo","Precio rebajado","Precio normal","Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1","Nombre del atributo 2","Valor(es) del atributo 2","Atributo visible 2","Atributo global 2","Nombre del atributo 3","Valor(es) del atributo 3","Atributo visible 3","Atributo global 3","Atributo por defecto 2"
"340270","CORRECTOR INSTANT AGE REWIND MAYBELLINE - NEUTRALIZER 150","1","visible","","36000","TONO","NEUTRALIZER 150","","1","","","","","","","","",""
"353923","CORRECTOR PRO CONCEALER","1","visible","","","MARCA","L.A GIRL","1","1","TONO","GC969, GC970, GC971, GC992","1","1","EDAD","25-35, 35-45, 45 en adelante","1","1",""
"363269","CORRECTOR PRO CONCEALER - GC969","1","visible","","15000","TONO","GC969","","1","","","","","","","","",""
"363270","CORRECTOR PRO CONCEALER - GC970","1","visible","","15000","TONO","GC970","","1","","","","","","","","",""
"363271","CORRECTOR PRO CONCEALER - GC971","1","visible","","15000","TONO","GC971","","1","","","","","","","","",""
"363272","CORRECTOR PRO CONCEALER - GC992","1","visible","","15000","TONO","GC992","","1","","","","","","","","",""
"342271","COSMETIQUERA ROSE HOLY","1","visible","","40000","MARCA","HOLY COSMETICS","1","1","EDAD","25-35, 35-45, 45 en adelante","1","1","","","","",""
"312251","CREMA CONTORNO DE OJOS","1","visible","","20000","MARCA","KHOL","1","1","","","","","","","","",""
"318044","CREMA DESPIGMENTANTE","1","visible","","24000","MARCA","PILI","1","1","","","","","","","","",""
"312266","CREMA FACIAL HIDRATANTE","1","visible","","20000","MARCA","KHOL","1","1","","","","","","","","",""
"307471","DELINEADOR DE GLITTER","1","visible","","8000","MARCA","","","","","","","","","","","",""
"307476","DELINEADOR DE GLITTER","1","visible","","8000","MARCA","TRENDY","","","","","","","","","","",""
"350987","DELINEADOR EN GLITTER SHINE","1","visible","","","MARCA","RUBY ROSE","1","1","COLOR","01, 02, 03, 04, 05, 06","1","1","EDAD","25-35, 35-45, 45 en adelante","1","1",""
"350988","DELINEADOR EN GLITTER SHINE - 01","1","visible","","7000","COLOR","1","","1","","","","","","","","",""
"350989","DELINEADOR EN GLITTER SHINE - 02","1","visible","","7000","COLOR","2","","1","","","","","","","","",""
"350990","DELINEADOR EN GLITTER SHINE - 03","1","visible","","7000","COLOR","3","","1","","","","","","","","",""
"350991","DELINEADOR EN GLITTER SHINE - 04","1","visible","","7000","COLOR","4","","1","","","","","","","","",""
"350992","DELINEADOR EN GLITTER SHINE - 05","1","visible","","7000","COLOR","5","","1","","","","","","","","",""
"350993","DELINEADOR EN GLITTER SHINE - 06","1","visible","","7000","COLOR","6","","1","","","","","","","","",""
